Date,Hour,Temperature,Humidity,Wind speed,Rainfall,Snowfall,Seasons,Holiday,Functioning Day,Rental Count,Normal Humidity,Temperature Category,Good Weather
2017-12-01,0,-5.2,37,2.2,0.0,0.0,Winter,0,True,257,0,Freezing,0
2017-12-01,1,-5.5,38,0.8,0.0,0.0,Winter,0,True,219,0,Freezing,0
2017-12-01,2,-6.0,39,1.0,0.0,0.0,Winter,0,True,162,0,Freezing,0
2017-12-01,3,-6.2,40,0.9,0.0,0.0,Winter,0,True,148,1,Freezing,0
2017-12-01,4,-6.0,36,2.3,0.0,0.0,Winter,0,True,97,0,Freezing,0
2017-12-01,5,-6.4,37,1.5,0.0,0.0,Winter,0,True,173,0,Freezing,0
2017-12-01,6,-6.6,35,1.3,0.0,0.0,Winter,0,True,167,0,Freezing,0
2017-12-01,7,-7.4,38,0.9,0.0,0.0,Winter,0,True,483,0,Freezing,0
2017-12-01,8,-7.6,37,1.1,0.0,0.0,Winter,0,True,853,0,Freezing,0
2017-12-01,9,-6.5,27,0.5,0.0,0.0,Winter,0,True,238,0,Freezing,0
2017-12-01,10,-3.5,24,1.2,0.0,0.0,Winter,0,True,385,0,Freezing,0
2017-12-01,11,-0.5,21,1.3,0.0,0.0,Winter,0,True,334,0,Freezing,0
2017-12-01,12,1.7,23,1.4,0.0,0.0,Winter,0,True,592,0,Chilly,0
2017-12-01,13,2.4,25,1.6,0.0,0.0,Winter,0,True,700,0,Chilly,0
2017-12-01,14,3.0,26,2.0,0.0,0.0,Winter,0,True,490,0,Chilly,0
2017-12-01,15,2.1,36,3.2,0.0,0.0,Winter,0,True,817,0,Chilly,0
2017-12-01,16,1.2,54,4.2,0.0,0.0,Winter,0,True,184,1,Chilly,0
2017-12-01,17,0.8,58,1.6,0.0,0.0,Winter,0,True,468,1,Chilly,0
2017-12-01,18,0.6,66,1.4,0.0,0.0,Winter,0,True,924,0,Chilly,0
2017-12-01,19,0.0,77,1.7,0.0,0.0,Winter,0,True,917,0,Chilly,0
2017-12-01,20,-0.3,79,1.5,0.0,0.0,Winter,0,True,184,0,Freezing,0
2017-12-01,21,-0.8,81,0.8,0.0,0.0,Winter,0,True,319,0,Freezing,0
2017-12-01,22,-0.9,83,1.5,0.0,0.0,Winter,0,True,473,0,Freezing,0
2017-12-01,23,-1.3,84,1.0,0.0,0.0,Winter,0,True,218,0,Freezing,0
2017-12-02,0,-1.8,87,1.1,0.0,0.0,Winter,0,True,199,0,Freezing,0
2017-12-02,1,-2.2,86,0.6,0.0,0.0,Winter,0,True,131,0,Freezing,0
2017-12-02,2,-2.9,86,1.5,0.0,0.0,Winter,0,True,179,0,Freezing,0
2017-12-02,3,-3.5,81,2.2,0.0,0.0,Winter,0,True,129,0,Freezing,0
2017-12-02,4,-3.8,79,2.0,0.0,0.0,Winter,0,True,55,0,Freezing,0
2017-12-02,5,-4.0,79,1.5,0.0,0.0,Winter,0,True,110,0,Freezing,0
2017-12-02,6,-4.3,82,2.1,0.0,0.0,Winter,0,True,85,0,Freezing,0
2017-12-02,7,-4.4,81,2.5,0.0,0.0,Winter,0,True,133,0,Freezing,0
2017-12-02,8,-4.2,79,2.1,0.0,0.0,Winter,0,True,83,0,Freezing,0
2017-12-02,9,-2.9,68,1.6,0.0,0.0,Winter,0,True,482,0,Freezing,0
2017-12-02,10,-0.4,57,1.6,0.0,0.0,Winter,0,True,339,1,Freezing,0
2017-12-02,11,1.9,49,1.8,0.0,0.0,Winter,0,True,419,1,Chilly,0
2017-12-02,12,4.3,41,1.3,0.0,0.0,Winter,0,True,803,1,Chilly,0
2017-12-02,13,6.0,36,1.8,0.0,0.0,Winter,0,True,659,0,Chilly,0
2017-12-02,14,7.3,35,1.3,0.0,0.0,Winter,0,True,1054,0,Chilly,0
2017-12-02,15,,41,2.3,0.0,0.0,Winter,0,True,688,1,,0
2017-12-02,16,6.4,48,2.6,0.0,0.0,Winter,0,True,592,1,Chilly,0
2017-12-02,17,6.0,51,2.5,0.0,0.0,Winter,0,True,141,1,Chilly,0
2017-12-02,18,5.5,53,1.5,0.0,0.0,Winter,0,True,281,1,Chilly,0
2017-12-02,19,5.0,52,2.3,0.0,0.0,Winter,0,True,625,1,Chilly,0
2017-12-02,20,4.6,51,1.2,0.0,0.0,Winter,0,True,433,1,Chilly,0
2017-12-02,21,4.1,55,1.2,0.0,0.0,Winter,0,True,428,1,Chilly,0
